Product Name,order_count
Staple envelope,47
Staples,46
Easy-staple paper,44
Avery Non-Stick Binders,20
Staple remover,18
Staples in misc. colors,18
KI Adjustable-Height Table,17
Storex Dura Pro Binders,17
Staple-based wall hangings,16
"Situations Contoured Folding Chairs, 4/Set",15
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,15
"Global Wood Trimmed Manager's Task Chair, Khaki",14
GBC Premium Transparent Covers with Diagonal Lined Pattern,14
"Global High-Back Leather Tilter, Burgundy",14
Eldon Wave Desk Accessories,14
Ibico Plastic Spiral Binding Combs,13
Chromcraft Round Conference Tables,13
GBC Instant Report Kit,13
Staple holder,13
"ACCOHIDE 3-Ring Binder, Blue, 1""",13
